"","sample","value","Treatment","Samples"
"MD2055","MD2055",8720.28640776699,"wilted","MD2055"
"MD2056","MD2056",8789.19760479042,"wilted","MD2056"
"MD2065","MD2065",8744.38743455497,"wilted","MD2065"
"MD2066","MD2066",8784.10344827586,"wilted","MD2066"
"MD2075","MD2075",8811.03937007874,"wilted","MD2075"
"MD2076","MD2076",8863.075,"wilted","MD2076"
"MD2085","MD2085",8738.3,"wilted","MD2085"
"MD2086","MD2086",8742.26923076923,"wilted","MD2086"
"MD2095","MD2095",8810.00769230769,"wilted","MD2095"
"MD2096","MD2096",8797.10416666667,"wilted","MD2096"
"MD2105","MD2105",8740.52173913043,"wilted","MD2105"
"MD2106","MD2106",8563.16307692308,"wilted","MD2106"
"MD2115","MD2115",8776.90058479532,"wilted","MD2115"
"MD2116","MD2116",8782.06557377049,"wilted","MD2116"
"MD2125","MD2125",8759.41463414634,"wilted","MD2125"
"MD2126","MD2126",8808.38709677419,"wilted","MD2126"
"MD2135","MD2135",8678.31983805668,"wilted","MD2135"
"MD2136","MD2136",8620.49442379182,"wilted","MD2136"
"MP2047","MP2047",8728.41509433962,"healthy","MP2047"
"MP2048","MP2048",8776.35754189944,"healthy","MP2048"
"MP2049","MP2049",8788.5923566879,"healthy","MP2049"
"MP2050","MP2050",8794.36290322581,"healthy","MP2050"
"MP2057","MP2057",8804.41666666667,"healthy","MP2057"
"MP2058","MP2058",8797.64788732394,"healthy","MP2058"
"MP2059","MP2059",8783.55629139073,"healthy","MP2059"
"MP2060","MP2060",8775.28220858896,"healthy","MP2060"
"MP2067","MP2067",8843.69811320755,"healthy","MP2067"
"MP2068","MP2068",8815.76288659794,"healthy","MP2068"
"MP2069","MP2069",8822.57142857143,"healthy","MP2069"
"MP2070","MP2070",8817.44615384615,"healthy","MP2070"
"MP2077","MP2077",8753.4,"healthy","MP2077"
"MP2078","MP2078",8728.86206896552,"healthy","MP2078"
"MP2087","MP2087",8842.528,"healthy","MP2087"
"MP2089","MP2089",8808.12676056338,"healthy","MP2089"
"MP2090","MP2090",8767.70454545455,"healthy","MP2090"
"MP2097","MP2097",8754.3904109589,"healthy","MP2097"
"MP2098","MP2098",8841.66666666667,"healthy","MP2098"
"MP2099","MP2099",8782.74626865672,"healthy","MP2099"
"MP2100","MP2100",8805.52317880795,"healthy","MP2100"
"MP2107","MP2107",8762.17934782609,"healthy","MP2107"
"MP2108","MP2108",8691.91416309013,"healthy","MP2108"
"MP2110","MP2110",8690.37931034483,"healthy","MP2110"
"MP2117","MP2117",8805.66666666667,"healthy","MP2117"
"MP2118","MP2118",8808.88461538462,"healthy","MP2118"
"MP2119","MP2119",8783.35465116279,"healthy","MP2119"
"MP2120","MP2120",8697.6320754717,"healthy","MP2120"
"MP2127","MP2127",8752.5625,"healthy","MP2127"
"MP2128","MP2128",8730.0625,"healthy","MP2128"
"MP2129","MP2129",8715.12328767123,"healthy","MP2129"
"MP2130","MP2130",8665.79245283019,"healthy","MP2130"
"MP2138","MP2138",8746.125,"healthy","MP2138"
"MP2139","MP2139",8692.04225352113,"healthy","MP2139"
"MP2140","MP2140",8690.16666666667,"healthy","MP2140"
