"","Treatment","Samples","sample","value","measure"
"MD2055","wilted","MD2055","MD2086",2.44613704984234,"Shannon"
"MD2056","wilted","MD2056","MD2076",2.84139394081399,"Shannon"
"MD2065","wilted","MD2065","MD2085",2.80388480476884,"Shannon"
"MD2066","wilted","MD2066","MP2099",3.06747425496285,"Shannon"
"MD2075","wilted","MD2075","MP2070",2.9729072278158,"Shannon"
"MD2076","wilted","MD2076","MP2068",3.09973042982392,"Shannon"
"MD2085","wilted","MD2085","MP2050",2.99612332670287,"Shannon"
"MD2086","wilted","MD2086","MD2066",3.06900055682631,"Shannon"
"MD2095","wilted","MD2095","MP2090",2.98307247519541,"Shannon"
"MD2096","wilted","MD2096","MD2075",2.89057574303422,"Shannon"
"MD2105","wilted","MD2105","MP2067",3.01239755956847,"Shannon"
"MD2106","wilted","MD2106","MD2095",3.15078240667044,"Shannon"
"MD2115","wilted","MD2115","MD2096",3.07552828895078,"Shannon"
"MD2116","wilted","MD2116","MP2087",3.09141612483889,"Shannon"
"MD2125","wilted","MD2125","MP2057",3.08321404743897,"Shannon"
"MD2126","wilted","MD2126","MD2115",3.0763487712228,"Shannon"
"MD2135","wilted","MD2135","MP2089",3.13363140101358,"Shannon"
"MD2136","wilted","MD2136","MP2100",2.99239522466932,"Shannon"
"MP2047","healthy","MP2047","MP2059",3.13231806798447,"Shannon"
"MP2048","healthy","MP2048","MP2077",2.97067193548839,"Shannon"
"MP2049","healthy","MP2049","MP2078",2.87780586376357,"Shannon"
"MP2050","healthy","MP2050","MP2107",3.07280280982576,"Shannon"
"MP2057","healthy","MP2057","MP2058",3.1827249247058,"Shannon"
"MP2058","healthy","MP2058","MP2118",3.10324804053585,"Shannon"
"MP2059","healthy","MP2059","MP2069",3.17236813281246,"Shannon"
"MP2060","healthy","MP2060","MP2098",3.21479057988073,"Shannon"
"MP2067","healthy","MP2067","MD2055",3.01750662209894,"Shannon"
"MP2068","healthy","MP2068","MP2060",3.127438993223,"Shannon"
"MP2069","healthy","MP2069","MP2048",3.08177800888439,"Shannon"
"MP2070","healthy","MP2070","MP2108",2.99056960984099,"Shannon"
"MP2077","healthy","MP2077","MP2049",3.12475478913724,"Shannon"
"MP2078","healthy","MP2078","MP2139",2.90209603001093,"Shannon"
"MP2087","healthy","MP2087","MD2116",3.16249039635735,"Shannon"
"MP2089","healthy","MP2089","MP2119",3.12083367297383,"Shannon"
"MP2090","healthy","MP2090","MD2056",3.17955511103702,"Shannon"
"MP2097","healthy","MP2097","MP2117",3.10226878036745,"Shannon"
"MP2098","healthy","MP2098","MP2097",3.16455025589854,"Shannon"
"MP2099","healthy","MP2099","MD2065",3.13192390298399,"Shannon"
"MP2100","healthy","MP2100","MP2120",3.15616889529033,"Shannon"
"MP2107","healthy","MP2107","MD2125",2.99532772209907,"Shannon"
"MP2108","healthy","MP2108","MD2105",3.2340365930246,"Shannon"
"MP2110","healthy","MP2110","MP2047",3.19465400670206,"Shannon"
"MP2117","healthy","MP2117","MP2110",3.10096695359657,"Shannon"
"MP2118","healthy","MP2118","MD2126",3.19544273656577,"Shannon"
"MP2119","healthy","MP2119","MP2128",3.08281397741036,"Shannon"
"MP2120","healthy","MP2120","MP2129",3.12233325699978,"Shannon"
"MP2127","healthy","MP2127","MP2140",3.04480602984241,"Shannon"
"MP2128","healthy","MP2128","MP2138",3.07972345449175,"Shannon"
"MP2129","healthy","MP2129","MP2130",3.01186254648859,"Shannon"
"MP2130","healthy","MP2130","MD2135",3.10913817051817,"Shannon"
"MP2138","healthy","MP2138","MP2127",3.11835482447394,"Shannon"
"MP2139","healthy","MP2139","MD2136",3.14586878339566,"Shannon"
"MP2140","healthy","MP2140","MD2106",3.09731700211601,"Shannon"
