"","sample","value","measure","Treatment","Samples"
"MD2055","MD2055",7.46600434799855,"Shannon","wilted","MD2055"
"MD2056","MD2056",7.48561509389149,"Shannon","wilted","MD2056"
"MD2065","MD2065",7.31803904913662,"Shannon","wilted","MD2065"
"MD2066","MD2066",7.50639883192302,"Shannon","wilted","MD2066"
"MD2075","MD2075",7.43757086770424,"Shannon","wilted","MD2075"
"MD2076","MD2076",7.53255992098165,"Shannon","wilted","MD2076"
"MD2085","MD2085",7.49878240592979,"Shannon","wilted","MD2085"
"MD2086","MD2086",6.81853296923734,"Shannon","wilted","MD2086"
"MD2095","MD2095",7.51806125010682,"Shannon","wilted","MD2095"
"MD2096","MD2096",7.49651923163238,"Shannon","wilted","MD2096"
"MD2105","MD2105",7.49876733184368,"Shannon","wilted","MD2105"
"MD2106","MD2106",7.49104652359258,"Shannon","wilted","MD2106"
"MD2115","MD2115",7.35083456108845,"Shannon","wilted","MD2115"
"MD2116","MD2116",7.4992141012242,"Shannon","wilted","MD2116"
"MD2125","MD2125",7.41774806388078,"Shannon","wilted","MD2125"
"MD2126","MD2126",7.47619432968109,"Shannon","wilted","MD2126"
"MD2135","MD2135",7.24565591798542,"Shannon","wilted","MD2135"
"MD2136","MD2136",7.45282590122025,"Shannon","wilted","MD2136"
"MP2047","MP2047",7.51754701918325,"Shannon","healthy","MP2047"
"MP2048","MP2048",7.49325474922433,"Shannon","healthy","MP2048"
"MP2049","MP2049",7.46384083449465,"Shannon","healthy","MP2049"
"MP2050","MP2050",7.52030843148712,"Shannon","healthy","MP2050"
"MP2057","MP2057",7.44012687202545,"Shannon","healthy","MP2057"
"MP2058","MP2058",7.37147557184992,"Shannon","healthy","MP2058"
"MP2059","MP2059",7.47278919551324,"Shannon","healthy","MP2059"
"MP2060","MP2060",7.37925859738418,"Shannon","healthy","MP2060"
"MP2067","MP2067",7.50892517924235,"Shannon","healthy","MP2067"
"MP2068","MP2068",7.51665623586254,"Shannon","healthy","MP2068"
"MP2069","MP2069",7.50811613390194,"Shannon","healthy","MP2069"
"MP2070","MP2070",7.58700087232157,"Shannon","healthy","MP2070"
"MP2077","MP2077",7.47532786702443,"Shannon","healthy","MP2077"
"MP2078","MP2078",7.48280883046994,"Shannon","healthy","MP2078"
"MP2087","MP2087",7.50434000537849,"Shannon","healthy","MP2087"
"MP2089","MP2089",7.49044465008468,"Shannon","healthy","MP2089"
"MP2090","MP2090",7.49985436796893,"Shannon","healthy","MP2090"
"MP2097","MP2097",7.51535957679809,"Shannon","healthy","MP2097"
"MP2098","MP2098",7.52229011801242,"Shannon","healthy","MP2098"
"MP2099","MP2099",7.53256764866474,"Shannon","healthy","MP2099"
"MP2100","MP2100",7.50550925616105,"Shannon","healthy","MP2100"
"MP2107","MP2107",7.48364964389844,"Shannon","healthy","MP2107"
"MP2108","MP2108",7.48963531328264,"Shannon","healthy","MP2108"
"MP2110","MP2110",7.46456851838408,"Shannon","healthy","MP2110"
"MP2117","MP2117",7.45792227590124,"Shannon","healthy","MP2117"
"MP2118","MP2118",7.44219106920406,"Shannon","healthy","MP2118"
"MP2119","MP2119",7.49165584765283,"Shannon","healthy","MP2119"
"MP2120","MP2120",7.40044641832421,"Shannon","healthy","MP2120"
"MP2127","MP2127",7.39951981036491,"Shannon","healthy","MP2127"
"MP2128","MP2128",7.35901104268416,"Shannon","healthy","MP2128"
"MP2129","MP2129",7.46073091384687,"Shannon","healthy","MP2129"
"MP2130","MP2130",7.44912962417556,"Shannon","healthy","MP2130"
"MP2138","MP2138",7.34369854990523,"Shannon","healthy","MP2138"
"MP2139","MP2139",7.59225611477315,"Shannon","healthy","MP2139"
"MP2140","MP2140",7.60286182131376,"Shannon","healthy","MP2140"
