"","Reads_B","Reads_A","Reads_diff","Q30_B","Q30_A","LowQual","N_reads","too_short","Duplication","LengthR1","LengthR2","Classified"
"P3278",196939408,167037470,15.18,0.929151,0.974984,70,808,29901060,0.0499517,124,125,33.96
"P3251",201249306,166113534,17.46,0.918964,0.972261,82,1668,35134022,0.0506277,128,128,34.91
"P3303",157404140,135042110,14.21,0.933087,0.974845,34,832,22361164,0.0475496,125,125,33.17
"P3029",207721966,180409140,13.15,0.939573,0.975411,66,176,27312584,0.0307699,129,130,35.46
"P3236",174202604,141555246,18.74,0.913382,0.968311,98,1608,32645652,0.0425105,127,129,32.56
"P3244",250161550,204195796,18.37,0.914372,0.969302,74,2250,45963430,0.0443786,129,128,34.98
"P3080",77844324,66583792,14.47,0.934325,0.973345,22,74,11260436,0.0247893,130,129,30.24
"P3142",239800410,210739914,12.12,0.944396,0.977036,52,160,29060284,0.0386227,129,130,34.02
"P3358",70585772,51275034,27.36,0.880322,0.960552,36,672,19310030,0.0274916,127,122,36.43
"P3094",158401800,140581048,11.25,0.950055,0.979757,32,80,17820640,0.0328504,125,126,32.94
"P3246",204656848,169628490,17.12,0.920451,0.971643,98,1634,35026626,0.0428047,127,128,36.23
"P3218",147703942,119577090,19.04,0.911601,0.968862,64,1544,28125244,0.0380766,129,128,33.25
"P3130",184733146,161971502,12.32,0.943381,0.977369,44,110,22761490,0.0361629,129,130,33.64
"P3127",284050536,251391286,11.5,0.94703,0.978638,58,172,32659020,0.0454337,128,129,35
"P3031",178521970,156258648,12.47,0.942295,0.976314,52,136,22263134,0.034563,130,130,42.69
"P3367",98535112,78238082,20.6,0.905994,0.965512,38,902,20296090,0.0358141,126,127,35.47
"P3257",159842076,132418712,17.16,0.919869,0.970987,78,1368,27421918,0.0457087,127,128,34.88
"P3222",171786734,141108832,17.86,0.916906,0.970628,78,1644,30676180,0.0456829,129,128,32.42
"P3061",114078750,90344854,20.8,0.910387,0.967334,54,78,23733764,0.0232797,130,127,33.64
"P3088",93209580,83377688,10.55,0.95187,0.981052,20,32,9831840,0.0339147,125,126,31.74
"P3305",220075514,183108612,16.8,0.9228,0.972404,62,1628,36965212,0.0475534,126,126,38.05
"P3217",115793644,92693066,19.95,0.90752,0.965318,42,1174,23099362,0.0355198,127,127,27.01
"P3066",115578318,95662836,17.23,0.924325,0.970069,60,98,19915324,0.0239986,130,128,31.19
"P3399",104276136,84306636,19.15,0.912251,0.96928,28,912,19968560,0.041764,129,128,32.18
"P3254",170910532,140667226,17.7,0.917548,0.970059,84,1714,30241508,0.0421672,128,129,30.37
"P3078",137473320,119463944,13.1,0.940596,0.97617,26,94,18009256,0.0284724,130,130,34.52
"P3074",193885638,170359170,12.13,0.943269,0.976396,36,192,23526240,0.0343757,129,130,38.44
