ID,category
P3278,crop
P3251,crop
P3303,crop
P3029,crop
P3236,crop
P3244,crop
P3080,crop
P3142,crop
P3358,crop
P3094,crop
P3246,uncultivatedLand
P3218,uncultivatedLand
P3130,uncultivatedLand
P3127,uncultivatedLand
P3031,uncultivatedLand
P3367,uncultivatedLand
P3257,uncultivatedLand
P3222,uncultivatedLand
P3061,uncultivatedLand
P3088,uncultivatedLand
P3305,forestDegraded
P3217,forestDegraded
P3066,forestDegraded
P3399,forestDegraded
P3254,forestDegraded
P3078,forestDegraded
P3074,forestDegraded
